"index_2010","AGEB","P_TOTAL_2010","POB65_MAS_2010","GRAPROES_2010","PROM_HNV_2010","VIVTOT_2010","PRO_OCUP_C_2010","PROM_OCUP_2010","VPH_PC_2010","OTRAENT_2010","P_0A5_2010","index_2020","P_TOTAL_2020","POB65_MAS_2020","GRAPROES_2020","PROM_HNV_2020","VIVTOT_2020","PRO_OCUP_C_2020","PROM_OCUP_2020","VPH_PC_2020","OTRAENT_2020","P_0A5_2020","cambio_poblacion","cambio_ninos","cambio_adultos_mayores","cambio_educacion","cambio_hijos","cambio_viviendas","cambio_ocupantes","cambio_computadora","puntaje_poblacion","puntaje_ninos","puntaje_adultos_mayores","puntaje_educacion","puntaje_hijos","puntaje_viviendas","puntaje_ocupantes","puntaje_computadora","ITSE"
4,"0435",3632,325,9.61730158730159,2.19333333333333,1321,0.853015873015873,3.35253968253968,584,1241,419,442,3798,457,10.7689830508475,1.98220338983051,1382,0.776610169491525,3.13762711864407,782,1273,259,166,-160,132,1.15168146354587,-0.211129943502825,61,-0.214912563895615,198,1,1,-1,-1,1,1,1,1,4
68,"044A",1539,224,9.56964285714286,2.26428571428571,549,0.750714285714286,3.15214285714286,254,478,135,502,1429,257,10.522962962963,2.07481481481481,573,0.625925925925926,2.64666666666667,330,471,83,-110,-52,33,0.953320105820106,-0.1894708994709,24,-0.505476190476191,76,-1,1,1,-1,1,-1,1,-1,0
97,"0454",2211,188,10.9947169811321,1.92905660377358,742,0.66188679245283,3.14584905660377,438,760,118,530,2339,296,12.0516981132075,1.61150943396226,883,0.608301886792453,2.84415094339623,531,718,118,128,0,108,1.05698113207547,-0.317547169811321,141,-0.301698113207547,93,1,-1,-1,-1,1,1,1,1,2
151,"0488",2045,140,8.20678571428572,2.40535714285714,635,1.05607142857143,3.79607142857143,189,743,290,584,2214,251,9.37357142857143,2.25571428571429,750,0.893214285714286,3.31178571428571,309,728,233,169,-57,111,1.16678571428571,-0.149642857142857,115,-0.484285714285714,120,1,1,-1,-1,1,1,1,1,4
180,"0492",557,15,7.67,0.912826086956522,281,0.372608695652174,1.64826086956522,189,271,39,613,956,131,12.295,1.26472222222222,454,0.584722222222222,2.38694444444444,360,368,33,399,-6,116,4.625,0.351896135265701,173,0.738683574879227,171,1,-1,-1,1,-1,1,-1,1,0
227,"0505",730,135,14.0261538461538,1.99923076923077,300,0.506153846153846,2.86230769230769,199,282,20,650,784,164,14.7092307692308,1.88692307692308,353,0.499230769230769,2.66461538461538,250,279,23,54,3,29,0.683076923076923,-0.112307692307692,53,-0.197692307692308,51,-1,-1,1,-1,1,1,1,-1,0
241,"0524",3040,276,9.12704918032787,2.50016393442623,1083,0.816885245901639,3.29606557377049,497,1074,364,664,2567,319,9.64758064516129,1.78677419354839,1083,0.700645161290323,2.51096774193548,493,830,157,-473,-207,43,0.52053146483342,-0.713389740877842,0,-0.785097831835008,-4,-1,1,1,-1,1,-1,1,-1,0
303,"0543",1871,223,8.49636363636364,2.46145454545455,679,0.914181818181818,3.32745454545455,232,669,174,727,1827,281,9.37678571428571,2.24517857142857,701,0.801607142857143,2.93267857142857,324,547,58,-44,-116,58,0.880422077922079,-0.216275974025974,22,-0.394775974025974,92,-1,1,1,-1,1,-1,1,1,2
359,"0558",2426,194,12.3410526315789,1.79578947368421,903,0.635789473684211,3.03947368421053,612,873,196,784,2399,279,13.0942105263158,1.77105263157895,952,0.588947368421053,2.79315789473684,663,745,140,-27,-56,85,0.753157894736843,-0.0247368421052632,49,-0.246315789473684,51,-1,1,-1,-1,-1,-1,1,-1,-4
379,"0562",1575,272,11.7253846153846,1.90807692307692,630,0.618846153846154,2.90807692307692,317,469,146,804,1280,246,12.9269230769231,1.84692307692308,566,0.586153846153846,2.64461538461538,360,379,190,-295,44,-26,1.20153846153846,-0.0611538461538459,-64,-0.263461538461538,43,-1,-1,1,-1,-1,-1,1,-1,-4
406,"0577",1199,209,12.8997142857143,1.50628571428571,604,0.511142857142857,2.52342857142857,335,512,62,831,1170,284,13.8314285714286,1.37142857142857,610,0.517714285714286,2.28714285714286,421,415,44,-29,-18,75,0.931714285714287,-0.134857142857143,6,-0.236285714285714,86,-1,-1,-1,-1,1,-1,1,1,-2
442,"0581",1122,154,10.8266666666667,1.91166666666667,465,0.564583333333333,2.68791666666667,260,348,93,867,1043,215,11.6483333333333,1.71666666666667,474,0.5275,2.24166666666667,312,349,24,-79,-69,61,0.821666666666667,-0.195,9,-0.44625,52,-1,1,1,-1,1,-1,1,-1,0
467,"0613",2004,112,7.97227272727273,2.61545454545455,618,1.01090909090909,3.78409090909091,164,752,279,892,2069,198,9.19954545454546,2.18409090909091,681,0.917272727272727,3.23863636363636,286,845,290,65,11,86,1.22727272727273,-0.431363636363636,63,-0.545454545454545,122,-1,-1,-1,-1,1,1,1,1,0
490,"0628",1650,222,7.9268085106383,1.25340425531915,586,0.478085106382979,2.28659574468085,414,476,138,915,1762,288,9.67962264150943,1.35698113207547,783,0.508490566037736,2.18169811320755,488,522,112,112,-26,66,1.75281413087114,0.103576876756323,197,-0.104897631473304,74,1,1,1,1,-1,1,-1,-1,2
538,"0632",22,0,1.31578947368421,0.346315789473684,15,0.0278947368421053,0.245789473684211,3,4,0,969,124,22,1.95444444444444,0.301666666666667,12,0.108888888888889,0.430555555555556,20,18,12,102,12,22,0.638654970760234,-0.0446491228070175,-3,0.184766081871345,17,1,-1,1,-1,-1,-1,-1,-1,-4
558,"0647",2666,305,12.9702272727273,1.75613636363636,1028,0.531818181818182,3.05795454545455,673,998,146,988,2797,551,13.6879487179487,1.65102564102564,1197,0.478717948717949,2.63025641025641,875,941,179,131,33,246,0.717721445221448,-0.105110722610723,169,-0.427698135198135,202,1,-1,-1,-1,1,1,1,1,2
603,"0651",386,85,10.0466666666667,1.85666666666667,195,0.445555555555556,1.99777777777778,89,168,3,1028,346,87,10.9583333333333,1.33555555555556,176,0.481666666666667,1.92555555555556,119,114,4,-40,1,2,0.911666666666667,-0.521111111111111,-19,-0.0722222222222222,30,-1,-1,1,-1,1,-1,-1,-1,-4
622,"0666",1640,206,9.5956,1.8664,677,0.652,2.6424,299,610,154,1047,1444,239,9.91,1.57961538461538,600,0.643076923076923,2.38076923076923,348,588,118,-196,-36,33,0.314400000000001,-0.286784615384615,-77,-0.26163076923077,49,-1,1,1,-1,1,-1,1,-1,0
648,"0670",1924,218,9.47266666666667,2.63,643,0.788,3.47733333333333,262,697,182,1074,1814,309,10.586,2.21,668,0.78,2.958,367,579,134,-110,-48,91,1.11333333333333,-0.42,25,-0.519333333333333,105,-1,1,-1,-1,1,-1,1,1,0
664,"0685",3332,264,8.49176470588235,2.30911764705882,1108,0.953823529411765,3.40764705882353,358,1252,384,1090,3249,375,9.715,2.16764705882353,1169,0.89,3.12205882352941,586,1106,345,-83,-39,111,1.22323529411765,-0.141470588235294,61,-0.285588235294118,228,-1,1,-1,-1,1,1,1,1,2
699,"069A",2736,266,8.95407407407407,2.21407407407407,890,0.812962962962963,3.44240740740741,402,948,263,1125,2777,419,10.1392592592593,2.08592592592593,982,0.750185185185185,3.09648148148148,502,857,284,41,21,153,1.18518518518519,-0.128148148148148,92,-0.345925925925926,100,-1,-1,-1,-1,1,1,1,1,0
754,"0717",187,38,6.32148148148148,1.23888888888889,201,0.44962962962963,1.37703703703704,46,138,0,1180,275,39,5.43148148148148,0.903703703703704,143,0.373703703703704,1.13037037037037,71,156,17,88,17,1,-0.89,-0.335185185185185,-58,-0.246666666666667,25,-1,-1,1,-1,1,-1,1,-1,-2
782,"0721",1079,134,6.01727272727273,1.40212121212121,652,0.501212121212121,1.41606060606061,155,513,30,1208,1015,135,7.43625,1.195,612,0.6075,1.474375,218,440,48,-64,18,1,1.41897727272727,-0.207121212121212,-40,0.058314393939394,63,-1,-1,1,1,1,-1,-1,-1,-2
816,"0736",1720,203,9.82173076923077,1.63173076923077,861,0.604615384615385,2.25461538461538,352,665,51,1241,1847,341,11.1478846153846,1.63076923076923,870,0.668846153846154,2.33461538461538,482,741,54,127,3,138,1.32615384615385,-0.000961538461538458,9,0.0800000000000001,130,1,-1,-1,-1,-1,-1,-1,1,-4
869,"0740",2400,369,10.5611764705882,2.14509803921569,999,0.71,3.03294117647059,475,977,197,1294,2522,429,11.4905882352941,1.87333333333333,1046,0.67,2.70882352941176,600,823,208,122,11,60,0.929411764705883,-0.271764705882353,47,-0.324117647058824,125,1,-1,1,-1,1,-1,1,1,2
921,"0755",1885,208,8.49894736842105,2.36394736842105,633,0.924473684210526,3.4928947368421,254,660,169,1346,2115,295,10.1354054054054,2.02567567567568,741,0.825135135135135,3.06297297297297,379,741,221,230,52,87,1.63645803698435,-0.338271692745377,108,-0.429921763869132,125,1,-1,-1,1,1,1,1,1,4
960,"076A",1118,175,9.25470588235294,1.57058823529412,531,0.490882352941176,2.04411764705882,313,364,76,1384,1112,205,9.99323529411765,1.35382352941176,538,0.480882352941176,1.99382352941176,324,345,37,-6,-39,30,0.738529411764704,-0.216764705882353,7,-0.0502941176470584,11,-1,1,1,-1,1,-1,-1,-1,-2
995,"0789",2778,357,10.1336363636364,2.05704545454545,1119,0.717045454545455,3.03045454545455,499,832,283,1419,2977,469,11.5742222222222,1.87111111111111,1231,0.705777777777778,2.76355555555556,713,887,341,199,58,112,1.44058585858586,-0.185934343434343,112,-0.26689898989899,214,1,-1,-1,1,1,1,1,1,4
1040,"0793",1405,139,9.32148148148148,2.16888888888889,481,0.761111111111111,3.24111111111111,220,482,145,1465,1358,217,10.7444444444444,1.81111111111111,531,0.650740740740741,2.7662962962963,295,383,112,-47,-33,78,1.42296296296296,-0.357777777777778,50,-0.474814814814815,75,-1,1,-1,1,1,-1,1,-1,0
1068,"0825",1297,201,8.18379310344828,1.17620689655172,598,0.355862068965517,1.79844827586207,368,558,49,1493,1251,326,8.79263157894737,1.09052631578947,603,0.345789473684211,1.6759649122807,417,505,39,-46,-10,125,0.608838475499093,-0.0856805807622503,5,-0.122483363581367,49,-1,-1,-1,-1,-1,-1,1,-1,-6
1127,"083A",1985,152,8.32760869565217,1.19369565217391,901,0.485652173913043,2.24413043478261,454,1178,193,1551,2199,246,9.60934782608696,1.34717391304348,997,0.548913043478261,2.3445652173913,627,1424,260,214,67,94,1.28173913043478,0.153478260869565,96,0.100434782608696,173,1,-1,-1,-1,-1,1,-1,1,-2
1174,"0844",2310,340,12.2988,1.9216,908,0.6004,2.9296,555,775,170,1598,2140,544,13.2256,1.7588,939,0.5556,2.6572,603,694,108,-170,-62,204,0.926800000000002,-0.1628,31,-0.272399999999999,48,-1,1,-1,-1,1,-1,1,-1,-2
1200,"0859",2783,327,10.5362162162162,1.89432432432432,1147,0.61027027027027,2.73972972972973,560,928,239,1624,2795,560,11.1508108108108,1.71810810810811,1166,0.575405405405405,2.51432432432432,691,821,173,12,-66,233,0.614594594594593,-0.176216216216216,19,-0.225405405405406,131,-1,1,-1,-1,1,-1,1,1,0
1238,"0863",2883,304,10.7692857142857,2.24666666666667,986,0.812619047619048,3.41428571428571,642,935,331,1662,2687,472,11.592380952381,1.91071428571429,1016,0.714285714285714,3.06142857142857,641,795,220,-196,-111,168,0.823095238095238,-0.335952380952381,30,-0.352857142857144,-1,-1,1,-1,-1,1,-1,1,-1,-2
1281,"0882",2728,366,10.610303030303,2.05636363636364,971,0.7,3.06969696969697,522,960,243,1705,2582,485,11.2117647058824,1.78441176470588,1019,0.587058823529412,2.65852941176471,607,849,175,-146,-68,119,0.601461675579323,-0.271951871657754,48,-0.411167557932264,85,-1,1,-1,-1,1,-1,1,1,0
1349,"1005",2987,4,11.066,1.5245,1228,0.8295,3.247,423,1286,483,1774,3611,121,11.394,1.596,1161,0.892666666666667,3.39733333333333,655,1379,386,624,-97,117,0.328000000000001,0.0714999999999999,-67,0.150333333333334,232,1,1,-1,-1,-1,-1,-1,1,-2
1370,"101A",1370,0,10.2905263157895,1.52315789473684,565,1.10578947368421,3.03368421052632,209,594,330,1790,1650,48,11.0521052631579,1.59315789473684,566,0.945789473684211,3.08421052631579,354,547,245,280,-85,48,0.76157894736842,0.0699999999999998,1,0.0505263157894738,145,1,1,1,-1,-1,-1,-1,1,0
1390,"1024",2102,27,10.3658333333333,1.27583333333333,1018,0.772777777777778,2.78083333333333,412,829,384,1810,2842,93,10.4177777777778,1.43111111111111,1023,0.735,2.69666666666667,601,1015,312,740,-72,66,0.0519444444444446,0.155277777777778,5,-0.0841666666666665,189,1,1,1,-1,-1,-1,-1,1,0
1427,"1039",1627,4,10.0064,1.5456,683,0.9856,3.2688,218,701,344,1847,2195,66,10.3464,1.7564,703,0.9068,3.1788,367,850,284,568,-60,62,0.340000000000002,0.2108,20,-0.0900000000000003,149,1,1,1,-1,-1,-1,-1,1,0
1453,"1043",3737,105,8.43340425531915,1.83936170212766,1124,1.0231914893617,3.41914893617021,459,1597,541,1873,4039,248,9.21604166666667,1.87625,1291,0.933958333333333,3.14770833333333,550,1455,430,302,-111,143,0.782637411347519,0.0368882978723404,167,-0.271440602836879,91,1,1,-1,-1,-1,1,1,1,2
1501,"1058",4223,58,7.24970588235294,1.62941176470588,379,0.938823529411765,2.77058823529412,129,546,123,1922,2763,160,8.92514285714286,1.52714285714286,544,0.818571428571429,3.04514285714286,270,1736,238,-1460,115,102,1.67543697478992,-0.102268907563025,165,0.274554621848739,141,-1,-1,-1,1,1,1,-1,1,0
1558,"1221",161,0,4.60714285714286,1.15047619047619,54,0.912857142857143,2.20809523809524,15,155,49,1986,310,3,8.64652173913043,1.78391304347826,110,1.15130434782609,3.11391304347826,105,194,176,149,127,3,4.03937888198758,0.63343685300207,56,0.905817805383023,90,1,-1,1,1,-1,1,-1,1,2
1580,"1236",673,10,6.43317073170732,1.9609756097561,216,1.49414634146341,3.38146341463415,3,325,173,2010,947,34,7.8774,1.8174,303,1.1008,3.254,115,556,142,274,-31,24,1.44422926829268,-0.143575609756098,87,-0.127463414634146,112,1,1,1,1,1,1,1,1,8
1622,"1240",179,0,6.83538461538462,1.57384615384615,63,0.842307692307692,2.72923076923077,12,143,20,2061,226,23,8.942,1.81,75,1.007,3.337,33,137,47,47,27,23,2.10661538461538,0.236153846153846,12,0.607769230769231,21,-1,-1,1,1,-1,-1,-1,-1,-4
1636,"1255",1774,0,9.9852380952381,1.45095238095238,887,1.0847619047619,2.9,189,814,312,2072,2434,56,10.6077272727273,1.45772727272727,892,0.953636363636364,2.85363636363636,412,967,255,660,-57,56,0.622489177489177,0.00677489177489177,5,-0.0463636363636364,223,1,1,1,-1,-1,-1,-1,1,0
1691,"1397",144,4,2.614,2.91,45,1.792,3.88,0,76,29,2149,226,10,7.48,2.988,65,1.392,3.976,15,117,12,82,-17,6,4.866,0.0779999999999998,20,0.0960000000000001,15,-1,-1,1,1,-1,-1,-1,-1,-4
1697,"140A",360,0,11.0911111111111,1.53777777777778,204,0.731111111111111,2.88777777777778,50,152,80,2155,522,0,11.5181818181818,1.59454545454545,210,0.861818181818182,2.90636363636364,118,199,85,162,5,0,0.427070707070706,0.0567676767676768,6,0.0185858585858587,68,1,-1,1,-1,-1,-1,-1,-1,-4
1707,"1414",98,0,6.805,2.06166666666667,29,1.455,3.13833333333333,0,45,34,2167,180,7,5.85571428571429,1.74428571428571,64,0.935714285714286,2.48,15,87,38,82,4,7,-0.949285714285714,-0.317380952380952,35,-0.658333333333333,15,-1,-1,1,-1,1,-1,1,-1,-2
1714,"1452",865,4,5.21333333333333,0.967222222222222,611,0.594444444444444,1.90277777777778,39,339,122,2175,1829,40,10.1363636363636,1.31290909090909,707,0.761818181818182,2.66236363636364,346,551,213,964,91,36,4.9230303030303,0.345686868686869,96,0.759585858585859,307,1,-1,1,1,-1,1,-1,1,2
1769,"1467",1776,17,7.29095238095238,1.17190476190476,582,0.728809523809524,2.35357142857143,319,645,279,2231,1901,111,9.83682926829268,1.44756097560976,704,0.657560975609756,2.31804878048781,517,397,158,125,-121,94,2.5458768873403,0.275656213704994,122,-0.0355226480836235,198,1,1,-1,1,-1,1,-1,1,2
1812,"1471",22,0,13,0.8,8,0.512,2.4,12,20,0,2273,28,3,13.2333333333333,0.79,11,0.645,2.74166666666667,33,30,5,6,5,3,0.233333333333334,-0.01,3,0.341666666666667,21,-1,-1,1,-1,-1,-1,-1,-1,-6
1818,"1486",147,0,7.14333333333333,2.315,47,1.595,3.765,3,88,33,2280,95,0,7.992,2.548,41,1.662,3.504,25,102,16,-52,-17,0,0.848666666666666,0.233,-6,-0.261,22,-1,-1,1,-1,-1,-1,1,-1,-4
1828,"1503",78,0,11.6375,2.4225,55,0.855,3,11,29,16,2288,122,0,12.535,1.4675,54,0.8175,2.6225,27,52,7,44,-9,0,0.897500000000001,-0.955,-1,-0.3775,16,-1,-1,1,-1,1,-1,1,-1,-2
1833,"1518",58,0,4.835,1.055,17,0.615,1.815,9,18,4,2293,57,3,10.41,1.54,20,1.04,3.35,9,23,3,-1,-1,3,5.575,0.485,3,1.535,0,-1,-1,1,1,-1,-1,-1,-1,-4
1836,"1522",33,0,7.985,2.1,13,2.35,3.5,0,16,16,2295,149,13,8.91,2.226,41,1.374,4.422,39,56,25,116,9,13,0.925,0.126,28,0.922,39,1,-1,1,-1,-1,-1,-1,-1,-4
1841,"1537",98,0,7.772,1.54,86,1.26,2.684,36,82,32,2301,704,41,12.82125,1.61375,248,0.89625,3.13375,176,250,88,606,56,41,5.04925,0.07375,162,0.44975,140,1,-1,1,1,-1,1,-1,1,2
1847,"1541",33,0,4.836,1.666,13,0.876,1.8,0,24,0,2310,33,0,10.065,1.04,15,0.9,2.2425,0,112,0,0,0,0,5.229,-0.626,2,0.4425,0,-1,-1,1,1,1,-1,-1,-1,-2
1853,"1556",92,0,6.64666666666667,2.63,27,1.88,3.58666666666667,0,62,32,2315,541,8,9.16838709677419,1.43161290322581,215,0.972903225806452,3.00258064516129,96,259,55,449,23,8,2.52172043010753,-1.19838709677419,188,-0.584086021505376,96,1,-1,1,1,1,1,1,1,6
1857,"1560",0,0,0,0,0,0,0,0,0,0,2347,245,0,12.3575,1.46,88,0.9775,3.1625,55,92,33,245,33,0,12.3575,1.46,88,3.1625,55,1,-1,1,1,-1,1,-1,-1,0
1868,"158A",156,0,3.88818181818182,1.38090909090909,127,1.02727272727273,1.60636363636364,0,123,0,2361,446,8,6.39129032258065,1.85645161290323,253,0.969032258064516,1.99774193548387,23,226,44,290,44,8,2.50310850439883,0.475542521994135,126,0.391378299120235,23,1,-1,1,1,-1,1,-1,-1,0
1913,"1895",1,0,0,0,1,0,0,0,0,0,2422,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-6
2030,"6006",5443,225,8.84459459459459,2.15540540540541,1581,0.993783783783784,3.73540540540541,624,1987,548,2758,4685,397,9.55552631578947,2.025,1719,0.81,3.08868421052632,685,1327,435,-758,-113,172,0.710931721194878,-0.130405405405405,138,-0.64672119487909,61,-1,1,-1,-1,1,1,1,-1,0
2068,"6010",3514,273,8.12906976744186,2.50162790697674,1108,0.971162790697674,3.62348837209302,332,1288,394,2797,3494,430,9.43651162790698,2.10651162790698,1291,0.791627906976744,2.99976744186047,472,1111,291,-20,-103,157,1.30744186046512,-0.395116279069767,183,-0.623720930232558,140,-1,1,-1,-1,1,1,1,1,2
