"index_2010","AGEB","P_TOTAL_2010","POB65_MAS_2010","GRAPROES_2010","PROM_HNV_2010","VIVTOT_2010","PRO_OCUP_C_2010","PROM_OCUP_2010","VPH_PC_2010","OTRAENT_2010","P_0A5_2010","index_2020","P_TOTAL_2020","POB65_MAS_2020","GRAPROES_2020","PROM_HNV_2020","VIVTOT_2020","PRO_OCUP_C_2020","PROM_OCUP_2020","VPH_PC_2020","OTRAENT_2020","P_0A5_2020","cambio_poblacion","cambio_ninos","cambio_adultos_mayores","cambio_educacion","cambio_hijos","cambio_viviendas","cambio_ocupantes","cambio_computadora","puntaje_poblacion","puntaje_ninos","puntaje_adultos_mayores","puntaje_educacion","puntaje_hijos","puntaje_viviendas","puntaje_ocupantes","puntaje_computadora","ITSE"
2112,"6025",1327,74,13.704,1.341,542,0.56,2.8625,396,471,87,2841,1559,218,14.3490909090909,1.38227272727273,665,0.527272727272727,2.57136363636364,529,637,123,232,36,144,0.645090909090911,0.0412727272727273,123,-0.291136363636364,133,1,-1,-1,-1,-1,1,1,1,0
2182,"7377",3223,184,7.47941176470588,2.38490196078431,949,1.13039215686275,3.65607843137255,265,1319,452,2913,3029,230,7.90826923076923,2.09807692307692,1054,1.02057692307692,3.08692307692308,328,1076,371,-194,-81,46,0.428857466063349,-0.28682503770739,105,-0.569155354449472,63,-1,1,1,-1,1,1,1,-1,2
2234,"7432",3577,67,8.14755555555556,2.11422222222222,1054,1.14022222222222,3.63644444444444,358,1362,557,2966,3635,161,9.11466666666667,1.916,1108,0.959777777777778,3.32111111111111,470,1172,380,58,-177,94,0.967111111111111,-0.198222222222222,54,-0.315333333333333,112,-1,1,-1,-1,1,1,1,1,2
2280,"7447",665,33,5.6,1.46771428571429,243,0.703428571428571,2.53057142857143,138,349,52,3012,891,139,8.09967741935484,1.69709677419355,281,0.73,3.03935483870968,153,334,66,226,14,106,2.49967741935484,0.229382488479263,38,0.508783410138249,15,1,-1,-1,1,-1,-1,-1,-1,-4
2316,"7451",1303,56,10.201,1.83,427,0.8055,3.28,193,444,129,3044,1260,136,10.6271428571429,1.83678571428571,463,0.730357142857143,3.00357142857143,273,472,77,-43,-52,80,0.426142857142857,0.00678571428571417,36,-0.276428571428571,80,-1,1,-1,-1,-1,-1,1,-1,-4
2337,"749A",910,49,8.32384615384616,2.55230769230769,287,1.16384615384615,3.74461538461538,102,386,146,3073,1116,86,7.95863636363636,1.98454545454545,375,0.932272727272727,2.93,137,484,159,206,13,37,-0.365209790209791,-0.567762237762238,88,-0.814615384615385,35,1,-1,1,-1,1,1,1,-1,2
2369,"7625",178,10,13.0709090909091,2.26181818181818,149,0.718181818181818,1.98181818181818,82,105,3,3114,216,47,7.735,0.76,175,0.288888888888889,1.19333333333333,112,132,0,38,-3,37,-5.33590909090909,-1.50181818181818,26,-0.788484848484849,30,-1,-1,1,-1,1,-1,1,-1,-2
2381,"7644",1812,54,6.8912,2.2268,458,1.1252,3.9632,123,835,229,3133,1741,104,8.1344,2.1152,503,0.9588,3.4184,168,729,225,-71,-4,50,1.2432,-0.1116,45,-0.5448,45,-1,-1,1,-1,1,-1,1,-1,-2
2407,"7659",848,25,7.50375,2.49125,372,1.5575,3.635,33,421,134,3159,943,60,8.05625,2.014375,344,1.21625,3.26125,92,394,100,95,-34,35,0.5525,-0.476875,-28,-0.37375,59,-1,1,1,-1,1,-1,1,-1,0
2416,"7663",1248,34,9.2824,1.9244,396,1.0056,3.5452,184,458,163,3176,1329,120,9.98269230769231,1.80692307692308,433,0.81,3.01461538461538,256,383,109,81,-54,86,0.700292307692306,-0.117476923076923,37,-0.530584615384615,72,-1,1,-1,-1,1,-1,1,-1,-2
2442,"7678",1719,59,8.43686274509804,2.01980392156863,556,1.22803921568627,3.60941176470588,183,754,253,3203,1840,116,9.3236,1.8756,635,0.8862,3.1246,227,641,180,121,-73,57,0.886737254901963,-0.144203921568628,79,-0.484811764705883,44,1,1,1,-1,1,1,1,-1,4
2494,"7682",1334,110,7.45717391304348,2.44586956521739,440,0.951739130434783,3.51130434782609,107,742,145,3254,1401,147,8.85809523809524,2.0197619047619,515,0.826904761904762,2.95857142857143,301,628,113,67,-32,37,1.40092132505176,-0.426107660455487,75,-0.552732919254658,194,-1,1,1,1,1,1,1,1,6
2541,"7697",2196,138,6.20490566037736,2.16528301886792,708,0.899056603773585,2.98169811320755,199,951,324,3297,2057,224,8.19618181818182,2.16472727272727,682,0.832909090909091,2.85436363636364,271,928,210,-139,-114,86,1.99127615780446,-0.000555746140651792,-26,-0.12733447684391,72,-1,1,-1,1,-1,-1,1,-1,-2
2595,"770A",1183,61,11.3358620689655,1.9151724137931,373,0.734137931034483,3.54275862068965,242,405,91,3353,1358,185,12.0593103448276,1.88241379310345,461,0.700689655172414,3.20827586206897,301,424,115,175,24,124,0.723448275862069,-0.0327586206896551,88,-0.334482758620689,59,1,-1,-1,-1,-1,1,1,-1,-2
2625,"7714",2879,172,8.219375,2.2703125,905,0.869375,3.345625,329,1057,367,3383,2885,295,9.09117647058824,1.96352941176471,982,0.746764705882353,2.88647058823529,444,944,283,6,-84,123,0.871801470588236,-0.306783088235294,77,-0.459154411764706,115,-1,1,-1,-1,1,1,1,1,2
2658,"7729",2107,194,11.2132258064516,1.8758064516129,746,0.674838709677419,3.26806451612903,431,680,222,3418,2311,359,12.3467741935484,1.83225806451613,806,0.66741935483871,3.08129032258064,523,719,169,204,-53,165,1.13354838709678,-0.0435483870967741,60,-0.186774193548387,92,1,1,-1,-1,-1,1,1,1,2
2690,"7733",1946,243,9.13515151515151,1.98727272727273,712,0.702727272727273,2.91030303030303,376,689,152,3450,1968,331,10.2141176470588,1.79235294117647,746,0.694117647058824,2.70264705882353,417,718,127,22,-25,88,1.07896613190731,-0.194919786096257,34,-0.207655971479501,41,-1,1,-1,-1,1,-1,1,-1,-2
2724,"7748",1415,63,11.0122222222222,1.66611111111111,637,0.738055555555556,3.01277777777778,313,533,137,3485,1723,256,11.7619444444444,1.6475,648,0.658888888888889,2.775,423,642,177,308,40,193,0.749722222222223,-0.0186111111111114,11,-0.237777777777777,110,1,-1,-1,-1,-1,-1,1,1,-2
2761,"7752",2851,242,9.81114285714286,1.99457142857143,1038,0.786,3.17285714285714,492,908,287,3522,2940,326,10.6832352941176,1.79588235294118,1151,0.742941176470588,2.94970588235294,583,754,264,89,-23,84,0.872092436974791,-0.198689075630252,113,-0.223151260504202,91,-1,1,-1,-1,1,1,1,1,2
2797,"7767",1175,147,10.87,2.20285714285714,417,0.676428571428571,3.11428571428571,238,410,110,3557,1217,238,11.4506666666667,1.82266666666667,445,0.684,2.95066666666667,279,374,94,42,-16,91,0.580666666666666,-0.380190476190476,28,-0.163619047619048,41,-1,-1,-1,-1,1,-1,1,-1,-4
2812,"7771",2051,323,9.78621621621622,1.50567567567568,876,0.575675675675676,2.48594594594595,487,692,122,3573,2107,388,12.0011764705882,1.40323529411765,888,0.557647058823529,2.40117647058824,584,754,116,56,-6,65,2.21496025437202,-0.102440381558029,12,-0.0847694753577106,97,-1,-1,1,1,1,-1,-1,1,0
2850,"7786",2367,249,10.0839285714286,2.20321428571429,850,0.777142857142857,3.29321428571429,442,762,230,3608,2511,339,10.9839285714286,1.97,919,0.693214285714286,2.99642857142857,525,730,196,144,-34,90,0.9,-0.233214285714286,69,-0.296785714285714,83,1,1,-1,-1,1,1,1,-1,2
2879,"7790",2407,156,8.65142857142857,1.86836734693878,915,0.824081632653061,2.88285714285714,331,1110,284,3637,2834,241,9.57020408163265,1.61755102040816,1009,0.767755102040816,2.63102040816326,459,1182,281,427,-3,85,0.918775510204082,-0.250816326530612,94,-0.251836734693878,128,1,-1,-1,-1,1,1,1,1,2
2929,"7818",2323,113,8.81189189189189,2.20945945945946,690,1.08540540540541,3.75864864864865,221,877,303,3687,2506,226,8.8635,2.05125,772,0.963,3.324,345,944,298,183,-5,113,0.0516081081081072,-0.15820945945946,82,-0.434648648648648,124,1,-1,-1,-1,1,1,1,1,2
2967,"7822",2360,94,7.60142857142857,2.02040816326531,771,1.04489795918367,3.40959183673469,239,926,359,3728,2686,205,8.8156862745098,1.89411764705882,893,0.962745098039216,3.23039215686275,364,922,335,326,-24,111,1.21425770308123,-0.126290516206482,122,-0.179199679871949,125,1,1,-1,-1,1,1,1,1,4
3017,"7837",1716,236,10.2923529411765,2.04117647058824,793,0.769411764705882,2.915,312,557,116,3780,1780,270,11.4602941176471,1.79323529411765,788,0.725588235294118,2.59852941176471,387,488,126,64,10,34,1.16794117647059,-0.247941176470589,-5,-0.316470588235295,75,-1,-1,1,-1,1,-1,1,-1,-2
3052,"7841",1652,238,9.637,2.457,706,0.701666666666667,2.99933333333333,250,545,150,3815,1874,315,10.905,1.967,741,0.687333333333333,2.68666666666667,394,587,111,222,-39,77,1.268,-0.49,35,-0.312666666666667,144,1,1,-1,-1,1,-1,1,1,2
3083,"7856",1621,321,11.7817073170732,2.24878048780488,659,0.54609756097561,2.79512195121951,417,578,110,3846,1553,379,12.2543902439024,1.78219512195122,650,0.518292682926829,2.45390243902439,469,474,28,-68,-82,58,0.472682926829268,-0.466585365853659,-9,-0.341219512195122,52,-1,1,1,-1,1,-1,1,-1,0
3125,"7860",1208,249,10.7469696969697,1.90242424242424,497,0.497878787878788,2.64757575757576,289,502,62,3888,1218,307,11.1361764705882,1.675,480,0.498823529411765,2.44852941176471,330,418,47,10,-15,58,0.38920677361854,-0.227424242424242,-17,-0.199046345811052,41,-1,-1,1,-1,1,-1,1,-1,-2
3159,"7875",2076,225,10.9075,2.11107142857143,785,0.712857142857143,3.26214285714286,404,644,200,3923,2048,322,11.9285714285714,1.87964285714286,808,0.653928571428571,2.835,481,589,164,-28,-36,97,1.02107142857143,-0.231428571428571,23,-0.427142857142857,77,-1,1,-1,-1,1,-1,1,-1,-2
3188,"788A",1601,165,10.6637931034483,1.9448275862069,551,0.796896551724138,3.33689655172414,319,485,182,3952,1584,207,11.6741379310345,1.98551724137931,578,0.786206896551724,3.08,348,463,126,-17,-56,42,1.01034482758621,0.0406896551724139,27,-0.256896551724138,29,-1,1,1,-1,-1,-1,1,-1,-2
3218,"7894",1608,146,9.02833333333333,2.265,532,0.895,3.41,289,449,200,3982,1617,234,10.7930555555556,2.09,598,0.782777777777778,3.01888888888889,308,486,102,9,-98,88,1.76472222222222,-0.175,66,-0.391111111111111,19,-1,1,-1,1,1,1,1,-1,2
3255,"7907",1276,71,8.91032258064516,2.10451612903226,422,0.874193548387097,3.4041935483871,199,392,160,4019,1281,99,9.72677419354839,1.79290322580645,450,0.727741935483871,3.08806451612903,232,314,74,5,-86,28,0.816451612903224,-0.311612903225807,28,-0.316129032258064,33,-1,1,1,-1,1,-1,1,-1,0
3287,"7911",2176,375,9.66777777777778,2.38511111111111,771,0.747555555555556,3.24555555555556,351,652,139,4051,1979,347,10.8539534883721,2.00186046511628,731,0.758837209302326,3.13790697674419,438,527,96,-197,-43,-28,1.18617571059431,-0.383250645994832,-40,-0.10764857881137,87,-1,1,1,-1,1,-1,-1,1,0
3333,"7926",3348,244,9.17542857142857,2.046,1020,0.736857142857143,3.23542857142857,594,957,314,4095,3030,455,9.59333333333333,1.9125,1039,0.6675,2.79055555555556,563,763,245,-318,-69,211,0.417904761904763,-0.1335,19,-0.444873015873016,-31,-1,1,-1,-1,1,-1,1,-1,-2
3369,"7930",4193,345,9.49386363636364,2.35386363636364,1442,0.871590909090909,3.44772727272727,586,1443,439,4132,4254,480,10.6777272727273,2.08090909090909,1486,0.795227272727273,3.1375,752,1404,338,61,-101,135,1.18386363636364,-0.272954545454545,44,-0.310227272727272,166,-1,1,-1,-1,1,-1,1,1,0
3414,"7945",2060,162,8.96818181818182,2.12909090909091,672,0.8975,3.53136363636364,272,760,283,4177,2564,218,10.5982608695652,2.00695652173913,876,0.883695652173913,3.24608695652174,465,728,325,504,42,56,1.6300790513834,-0.122134387351779,204,-0.285276679841897,193,1,-1,1,1,1,1,1,1,6
3459,"795A",2612,183,10.1227083333333,1.6,837,0.620833333333333,3.11479166666667,537,877,254,4224,2620,326,11.2160416666667,1.58916666666667,920,0.6225,2.86541666666667,653,848,218,8,-36,143,1.09333333333333,-0.0108333333333333,83,-0.249375,116,-1,1,-1,-1,-1,1,1,1,0
3508,"7964",2493,237,11.7404081632653,1.78510204081633,928,0.555102040816327,3.00897959183673,622,911,179,4273,2479,534,12.9510638297872,1.67404255319149,990,0.560851063829787,2.93468085106383,714,857,106,-14,-73,297,1.21065566652193,-0.111059487624837,62,-0.074298740772905,92,-1,1,-1,-1,1,1,-1,1,0
4000,"8089",971,43,6.37770833333333,1.73125,326,0.82625,2.87604166666667,95,486,85,4760,1367,97,9.01108695652174,1.61065217391304,488,0.817826086956522,2.80282608695652,245,566,148,396,63,54,2.63337862318841,-0.120597826086956,162,-0.073215579710145,150,1,-1,1,1,1,1,-1,1,4
4049,"8093",502,0,5.7909375,1.6578125,186,0.8259375,2.65,12,245,72,4807,681,10,8.2609375,1.619375,225,0.9246875,2.9015625,68,289,57,179,-15,10,2.47,-0.0384374999999999,39,0.2515625,56,1,-1,1,1,-1,-1,-1,-1,-2
4082,"8106",2393,123,6.96630434782609,1.99760869565217,710,0.984347826086957,3.3595652173913,268,1038,356,4840,2458,179,8.04413043478261,1.87326086956522,736,0.825,3.08695652173913,257,985,286,65,-70,56,1.07782608695652,-0.124347826086956,26,-0.272608695652174,-11,-1,1,1,-1,1,-1,1,-1,0
4129,"8110",2774,95,7.21868421052632,2.13789473684211,859,1.10526315789474,3.63552631578947,255,1247,334,4887,3123,164,8.39162162162162,1.96783783783784,915,0.955945945945946,3.33756756756757,324,1304,370,349,36,69,1.17293741109531,-0.170056899004267,56,-0.297958748221906,69,1,-1,1,-1,1,1,1,-1,2
4172,"8394",1382,15,7.41777777777778,2.14611111111111,387,1.315,4.06777777777778,75,700,208,4929,1580,57,8.248,1.99866666666667,449,1.12533333333333,3.652,137,663,209,198,1,42,0.830222222222221,-0.147444444444445,62,-0.415777777777778,62,1,-1,1,-1,1,1,1,-1,2
4191,"8407",774,22,12.75375,1.4525,271,0.80375,3.47375,176,208,82,4945,752,36,13.55875,1.39625,274,0.69875,3.0675,207,178,57,-22,-25,14,0.805,-0.0562499999999999,3,-0.40625,31,-1,1,1,-1,-1,-1,1,-1,-2
4200,"8426",2398,32,6.595,2.26921052631579,694,1.35868421052632,3.92157894736842,135,1108,404,4954,2272,113,8.05795454545455,2.13522727272727,730,1.03431818181818,3.2875,239,929,332,-126,-72,81,1.46295454545455,-0.133983253588517,36,-0.634078947368421,104,-1,1,-1,1,1,-1,1,1,2
4239,"8430",2190,36,6.32393939393939,1.93484848484848,610,1.13212121212121,3.63939393939394,164,1004,242,4999,2354,92,8.35666666666667,1.87090909090909,696,1.01575757575758,3.32848484848485,195,924,243,164,1,56,2.03272727272727,-0.0639393939393937,86,-0.310909090909091,31,1,-1,1,1,-1,1,1,-1,2
4273,"8445",2254,61,6.97739130434783,1.9445652173913,683,1.4495652173913,3.58282608695652,124,1063,295,5033,2686,116,8.315,2.07690476190476,788,1.08785714285714,3.38,235,1155,378,432,83,55,1.33760869565218,0.132339544513457,105,-0.202826086956521,111,1,-1,1,-1,-1,1,1,1,2
4320,"845A",2254,65,10.1115625,1.7978125,755,0.854375,3.453125,461,806,232,5076,2643,177,11.6584210526316,1.43070175438596,1026,0.712456140350877,2.71368421052632,620,813,230,389,-2,112,1.54685855263158,-0.367110745614035,271,-0.739440789473684,159,1,-1,-1,1,1,1,1,1,4
4353,"8464",3534,111,7.36549019607843,2.36764705882353,1004,1.29098039215686,3.94392156862745,302,1612,508,5134,4091,231,8.93980769230769,2.10134615384615,1231,1.0975,3.56807692307692,454,1582,543,557,35,120,1.57431749622926,-0.266300904977375,227,-0.375844645550528,152,1,-1,-1,1,1,1,1,1,4
4455,"8572",504,3,9.76142857142857,1.74714285714286,162,1.02571428571429,3.62285714285714,71,180,66,5238,599,33,10.8814285714286,1.63142857142857,198,0.851428571428571,3.13857142857143,74,156,59,95,-7,30,1.12,-0.115714285714286,36,-0.484285714285714,3,-1,-1,1,-1,1,-1,1,-1,-2
4463,"8587",248,6,7.34285714285714,2.45428571428571,77,0.982142857142857,3.59785714285714,12,162,43,5246,354,13,9.58428571428571,2.38857142857143,103,1.12428571428571,3.74071428571429,73,181,73,106,30,7,2.24142857142857,-0.0657142857142858,26,0.142857142857143,61,1,-1,1,1,-1,-1,-1,-1,-2
4509,"8708",877,0,8.79277777777778,1.17666666666667,276,0.707222222222222,2.825,157,269,123,5288,744,66,9.71375,1.255625,296,0.69125,2.43875,200,104,66,-133,-57,66,0.92097222222222,0.0789583333333332,20,-0.38625,43,-1,1,1,-1,-1,-1,1,-1,-2
4533,"8727",357,3,7.01055555555556,1.91166666666667,128,1.19722222222222,3.40444444444444,0,193,30,5308,556,49,6.92466666666667,1.86666666666667,182,0.932666666666667,3.016,55,319,69,199,39,46,-0.0858888888888885,-0.0449999999999997,54,-0.388444444444445,55,1,-1,1,-1,-1,1,1,-1,0
4627,"9551",47,3,7.13833333333333,0.608333333333333,14,0.375,1.905,13,34,3,5387,62,14,7.96666666666667,0.736666666666667,21,0.308333333333333,1.76833333333333,23,41,0,15,-3,11,0.828333333333333,0.128333333333333,7,-0.136666666666667,10,-1,-1,1,-1,-1,-1,1,-1,-4
4634,"9566",279,0,4.68,1.259,93,0.789,2.162,11,131,46,5394,414,26,7.87333333333333,1.70222222222222,129,0.974444444444444,3.26888888888889,34,225,54,135,8,26,3.19333333333333,0.443222222222222,36,1.10688888888889,23,1,-1,1,1,-1,-1,-1,-1,-2
4645,"9585",817,9,7.36461538461538,1.27153846153846,250,0.853076923076923,2.61076923076923,124,233,149,5404,827,4,10.242,1.285,254,0.839,3.071,144,236,76,10,-73,-5,2.87738461538462,0.0134615384615382,4,0.460230769230769,20,-1,1,1,1,-1,-1,-1,-1,-2
4659,"959A",980,20,3.69075,1.90425,312,1.11575,2.886,31,613,241,5415,1212,95,8.42088235294118,2.11794117647059,368,1.26029411764706,3.70735294117647,144,896,252,232,11,75,4.73013235294118,0.213691176470588,56,0.82135294117647,113,1,-1,-1,1,-1,1,-1,1,0
5190,"9744",114,3,3.595,1.265,39,0.66,1.6,5,69,12,5952,111,0,9.83,1.96,36,1.165,3.74,14,74,22,-3,10,-3,6.235,0.695,-3,2.14,9,-1,-1,1,1,-1,-1,-1,-1,-4
5193,"9759",198,6,7.125,2.555,46,1.54,4.605,9,113,25,5955,183,8,8.7,2.305,51,1.155,4.075,19,94,21,-15,-4,2,1.575,-0.25,5,-0.53,10,-1,-1,1,1,1,-1,1,-1,0
5320,"9829",69,0,5.30333333333333,1.20666666666667,21,0.75,2.36666666666667,0,28,0,6094,69,9,8.54285714285714,2.86714285714286,21,1.03142857142857,3.53,35,74,20,0,20,9,3.23952380952381,1.66047619047619,0,1.16333333333333,35,-1,-1,1,1,-1,-1,-1,-1,-4
5337,"9848",1554,13,9.5,1.67888888888889,658,0.947777777777778,3.39222222222222,179,665,239,6116,2498,50,10.1894117647059,1.69882352941176,768,0.967058823529412,3.44647058823529,344,1002,331,944,92,37,0.689411764705882,0.0199346405228757,110,0.0542483660130721,165,1,-1,1,-1,-1,1,-1,1,0
5356,"9852",998,3,11.2968421052632,1.47947368421053,394,0.874736842105263,2.9878947368421,205,350,166,6134,1089,38,11.5326315789474,1.44210526315789,387,0.863157894736842,3.02894736842105,224,256,147,91,-19,35,0.235789473684211,-0.0373684210526317,-7,0.0410526315789475,19,-1,-1,1,-1,-1,-1,-1,-1,-6
5376,"9867",796,9,10.2888235294118,1.61058823529412,287,1.04588235294118,3.33117647058824,116,275,207,6154,922,18,11.0017647058824,1.51470588235294,291,0.939411764705882,3.38941176470588,131,253,84,126,-123,9,0.712941176470588,-0.0958823529411765,4,0.0582352941176465,15,1,1,1,-1,-1,-1,-1,-1,-2
5394,"9871",2178,18,8.79405405405405,1.57135135135135,887,0.934594594594595,2.87135135135135,271,757,411,6172,2907,61,8.85378378378378,1.54675675675676,914,0.995135135135135,3.03,433,1010,344,729,-67,43,0.0597297297297281,-0.0245945945945947,27,0.158648648648648,162,1,1,1,-1,-1,-1,-1,1,0
